Grapheme	IPA
kuán_	kʰ w a n ³⁵ +
kuǎn_	kʰ w a n ²¹⁴ +
kuàn_	kʰ w a n ⁵¹ +
kuāng_	kʰ w a ŋ ⁵⁵ +
kuáng_	kʰ w a ŋ ³⁵ +
kuǎng_	kʰ w a ŋ ²¹⁴ +
kuàng_	kʰ w a ŋ ⁵¹ +
kuī_	kʰ w əi ⁵⁵ +
kuí_	kʰ w əi ³⁵ +
kuǐ_	kʰ w əi ²¹⁴ +
kuì_	kʰ w əi ⁵¹ +
kū_	kʰ u ⁵⁵ +
kú_	kʰ u ³⁵ +
kǔ_	kʰ u ²¹⁴ +
kù_	kʰ u ⁵¹ +
kūn_	kʰ ʊ n ⁵⁵ +
kún_	kʰ ʊ n ³⁵ +
kǔn_	kʰ ʊ n ²¹⁴ +
kùn_	kʰ ʊ n ⁵¹ +
lā_	l a ⁵⁵ +
lá_	l a ³⁵ +
lǎ_	l a ²¹⁴ +
là_	l a ⁵¹ +
lāi_	l ai ⁵⁵ +
lái_	l ai ³⁵ +
lǎi_	l ai ²¹⁴ +
lài_	l ai ⁵¹ +
lān_	l a n ⁵⁵ +
lán_	l a n ³⁵ +
lǎn_	l a n ²¹⁴ +
làn_	l a n ⁵¹ +
lāng_	l a ŋ ⁵⁵ +
láng_	l a ŋ ³⁵ +
lǎng_	l a ŋ ²¹⁴ +
làng_	l a ŋ ⁵¹ +
lāo_	l au ⁵⁵ +
láo_	l au ³⁵ +
lǎo_	l au ²¹⁴ +
lào_	l au ⁵¹ +
lē_	l ə ⁵⁵ +
lé_	l ə ³⁵ +
lě_	l ə ²¹⁴ +
lè_	l ə ⁵¹ +
lēi_	l əi ⁵⁵ +
léi_	l əi ³⁵ +
lěi_	l əi ²¹⁴ +
lèi_	l əi ⁵¹ +
lēng_	l ə ŋ ⁵⁵ +
léng_	l ə ŋ ³⁵ +
lěng_	l ə ŋ ²¹⁴ +
lèng_	l ə ŋ ⁵¹ +
li_	l i ⁰ +
liān_	l j ɛ n ⁵⁵ +
lián_	l j ɛ n ³⁵ +
liǎn_	l j ɛ n ²¹⁴ +
liàn_	l j ɛ n ⁵¹ +
liāng_	l j a ŋ ⁵⁵ +
liáng_	l j a ŋ ³⁵ +
liǎng_	l j a ŋ ²¹⁴ +
liàng_	l j a ŋ ⁵¹ +
liāo_	l j au ⁵⁵ +
liáo_	l j au ³⁵ +
liǎo_	l j au ²¹⁴ +
liào_	l j au ⁵¹ +
liē_	l j ə ⁵⁵ +
lié_	l j ə ³⁵ +
liě_	l j ə ²¹⁴ +
liè_	l j ə ⁵¹ +
liū_	l j ɔu ⁵⁵ +
liú_	l j ɔu ³⁵ +
liǔ_	l j ɔu ²¹⁴ +
liù_	l j ɔu ⁵¹ +
lī_	l i ⁵⁵ +
lí_	l i ³⁵ +
lǐ_	l i ²¹⁴ +
lì_	l i ⁵¹ +
līn_	l i n ⁵⁵ +
lín_	l i n ³⁵ +
lǐn_	l i n ²¹⁴ +
lìn_	l i n ⁵¹ +
līng_	l i ŋ ⁵⁵ +
líng_	l i ŋ ³⁵ +
lǐng_	l i ŋ ²¹⁴ +
lìng_	l i ŋ ⁵¹ +
lōng_	l ʊ ŋ ⁵⁵ +
lóng_	l ʊ ŋ ³⁵ +
lǒng_	l ʊ ŋ ²¹⁴ +
lòng_	l ʊ ŋ ⁵¹ +
lōu_	l ɔu ⁵⁵ +
lóu_	l ɔu ³⁵ +
lǒu_	l ɔu ²¹⁴ +
lòu_	l ɔu ⁵¹ +
lu_	l u ⁰ +
luān_	l w a n ⁵⁵ +
luán_	l w a n ³⁵ +
luǎn_	l w a n ²¹⁴ +
luàn_	l w a n ⁵¹ +
luō_	l w ɔ ⁵⁵ +
luó_	l w ɔ ³⁵ +
luǒ_	l w ɔ ²¹⁴ +
luò_	l w ɔ ⁵¹ +
lū_	l u ⁵⁵ +
lú_	l u ³⁵ +
lǔ_	l u ²¹⁴ +
lù_	l u ⁵¹ +
lūn_	l ʊ n ⁵⁵ +
lún_	l ʊ n ³⁵ +
lǔn_	l ʊ n ²¹⁴ +
lùn_	l ʊ n ⁵¹ +
mao_	m au ⁰ +
mā_	m a ⁵⁵ +
má_	m a ³⁵ +
mǎ_	m a ²¹⁴ +
mà_	m a ⁵¹ +
māi_	m ai ⁵⁵ +
mái_	m ai ³⁵ +
mǎi_	m ai ²¹⁴ +
mài_	m ai ⁵¹ +
mān_	m a n ⁵⁵ +
mán_	m a n ³⁵ +
mǎn_	m a n ²¹⁴ +
màn_	m a n ⁵¹ +
māng_	m a ŋ ⁵⁵ +
máng_	m a ŋ ³⁵ +
mǎng_	m a ŋ ²¹⁴ +
màng_	m a ŋ ⁵¹ +
māo_	m au ⁵⁵ +
máo_	m au ³⁵ +
mǎo_	m au ²¹⁴ +
mào_	m au ⁵¹ +
mei_	m əi ⁰ +
men_	m ə n ⁰ +
mēi_	m əi ⁵⁵ +
méi_	m əi ³⁵ +
měi_	m əi ²¹⁴ +
mèi_	m əi ⁵¹ +
mēn_	m ə n ⁵⁵ +
mén_	m ə n ³⁵ +
měn_	m ə n ²¹⁴ +
mèn_	m ə n ⁵¹ +
mēng_	m ə ŋ ⁵⁵ +
méng_	m ə ŋ ³⁵ +
měng_	m ə ŋ ²¹⁴ +
mèng_	m ə ŋ ⁵¹ +
miān_	m j ɛ n ⁵⁵ +
mián_	m j ɛ n ³⁵ +
miǎn_	m j ɛ n ²¹⁴ +
miàn_	m j ɛ n ⁵¹ +
miāo_	m j au ⁵⁵ +
miáo_	m j au ³⁵ +
miǎo_	m j au ²¹⁴ +
miào_	m j au ⁵¹ +
miē_	m j ə ⁵⁵ +
mié_	m j ə ³⁵ +
miě_	m j ə ²¹⁴ +
miè_	m j ə ⁵¹ +
ming_	m i ŋ ⁰ +
mī_	m i ⁵⁵ +
mí_	m i ³⁵ +
mǐ_	m i ²¹⁴ +
mì_	m i ⁵¹ +
mīn_	m i n ⁵⁵ +
mín_	m i n ³⁵ +
mǐn_	m i n ²¹⁴ +
mìn_	m i n ⁵¹ +
mīng_	m i ŋ ⁵⁵ +
míng_	m i ŋ ³⁵ +
mǐng_	m i ŋ ²¹⁴ +
mìng_	m i ŋ ⁵¹ +
mō_	m w ɔ ⁵⁵ +
mó_	m w ɔ ³⁵ +
mǒ_	m w ɔ ²¹⁴ +
mò_	m w ɔ ⁵¹ +
mōu_	m ɔu ⁵⁵ +
móu_	m ɔu ³⁵ +
mǒu_	m ɔu ²¹⁴ +
mòu_	m ɔu ⁵¹ +
mū_	m u ⁵⁵ +
mú_	m u ³⁵ +
mǔ_	m u ²¹⁴ +
mù_	m u ⁵¹ +
nā_	n a ⁵⁵ +
ná_	n a ³⁵ +
nǎ_	n a ²¹⁴ +
nà_	n a ⁵¹ +
nāi_	n ai ⁵⁵ +
nái_	n ai ³⁵ +
nǎi_	n ai ²¹⁴ +
nài_	n ai ⁵¹ +
nān_	n a n ⁵⁵ +
nán_	n a n ³⁵ +
nǎn_	n a n ²¹⁴ +
nàn_	n a n ⁵¹ +
nāo_	n au ⁵⁵ +
náo_	n au ³⁵ +
nǎo_	n au ²¹⁴ +
nào_	n au ⁵¹ +
niān_	n j ɛ n ⁵⁵ +
nián_	n j ɛ n ³⁵ +
niǎn_	n j ɛ n ²¹⁴ +
niàn_	n j ɛ n ⁵¹ +
niāo_	n j au ⁵⁵ +
niáo_	n j au ³⁵ +
niǎo_	n j au ²¹⁴ +
niào_	n j au ⁵¹ +
niē_	n j ə ⁵⁵ +
nié_	n j ə ³⁵ +
niě_	n j ə ²¹⁴ +
niè_	n j ə ⁵¹ +
niū_	n j ɔu ⁵⁵ +
niú_	n j ɔu ³⁵ +
niǔ_	n j ɔu ²¹⁴ +
niù_	n j ɔu ⁵¹ +
nī_	n i ⁵⁵ +
ní_	n i ³⁵ +
nǐ_	n i ²¹⁴ +
nì_	n i ⁵¹ +
nīng_	n i ŋ ⁵⁵ +
níng_	n i ŋ ³⁵ +
nǐng_	n i ŋ ²¹⁴ +
nìng_	n i ŋ ⁵¹ +
nong_	n ʊ ŋ ⁰ +
nōng_	n ʊ ŋ ⁵⁵ +
nóng_	n ʊ ŋ ³⁵ +
nǒng_	n ʊ ŋ ²¹⁴ +
nòng_	n ʊ ŋ ⁵¹ +
nuān_	n w a n ⁵⁵ +
nuán_	n w a n ³⁵ +
nuǎn_	n w a n ²¹⁴ +
nuàn_	n w a n ⁵¹ +
nuō_	n w ɔ ⁵⁵ +
nuó_	n w ɔ ³⁵ +
nuǒ_	n w ɔ ²¹⁴ +
nuò_	n w ɔ ⁵¹ +
nū_	n u ⁵⁵ +
nú_	n u ³⁵ +
nǔ_	n u ²¹⁴ +
nù_	n u ⁵¹ +
ōu_	ɔu ⁵⁵ +
óu_	ɔu ³⁵ +
ǒu_	ɔu ²¹⁴ +
òu_	ɔu ⁵¹ +
pā_	pʰ a ⁵⁵ +
pá_	pʰ a ³⁵ +
pǎ_	pʰ a ²¹⁴ +
pà_	pʰ a ⁵¹ +
pāi_	pʰ ai ⁵⁵ +
pái_	pʰ ai ³⁵ +
pǎi_	pʰ ai ²¹⁴ +
pài_	pʰ ai ⁵¹ +
pān_	pʰ a n ⁵⁵ +
pán_	pʰ a n ³⁵ +
pǎn_	pʰ a n ²¹⁴ +
pàn_	pʰ a n ⁵¹ +
pāng_	pʰ a ŋ ⁵⁵ +
páng_	pʰ a ŋ ³⁵ +
pǎng_	pʰ a ŋ ²¹⁴ +
pàng_	pʰ a ŋ ⁵¹ +
pāo_	pʰ au ⁵⁵ +
páo_	pʰ au ³⁵ +
pǎo_	pʰ au ²¹⁴ +
pào_	pʰ au ⁵¹ +
peng_	pʰ ə ŋ ⁰ +
pēi_	pʰ əi ⁵⁵ +
péi_	pʰ əi ³⁵ +
pěi_	pʰ əi ²¹⁴ +
pèi_	pʰ əi ⁵¹ +
pēn_	pʰ ə n ⁵⁵ +
pén_	pʰ ə n ³⁵ +
pěn_	pʰ ə n ²¹⁴ +
pèn_	pʰ ə n ⁵¹ +
pēng_	pʰ ə ŋ ⁵⁵ +
péng_	pʰ ə ŋ ³⁵ +
pěng_	pʰ ə ŋ ²¹⁴ +
pèng_	pʰ ə ŋ ⁵¹ +
piān_	pʰ j ɛ n ⁵⁵ +
pián_	pʰ j ɛ n ³⁵ +
piǎn_	pʰ j ɛ n ²¹⁴ +
piàn_	pʰ j ɛ n ⁵¹ +
pī_	pʰ i ⁵⁵ +
pí_	pʰ i ³⁵ +
pǐ_	pʰ i ²¹⁴ +
pì_	pʰ i ⁵¹ +
pīn_	pʰ i n ⁵⁵ +
pín_	pʰ i n ³⁵ +
pǐn_	pʰ i n ²¹⁴ +
pìn_	pʰ i n ⁵¹ +
pīng_	pʰ i ŋ ⁵⁵ +
píng_	pʰ i ŋ ³⁵ +
pǐng_	pʰ i ŋ ²¹⁴ +
pìng_	pʰ i ŋ ⁵¹ +
po_	pʰ w ɔ ⁰ +
pō_	pʰ w ɔ ⁵⁵ +
pó_	pʰ w ɔ ³⁵ +
pǒ_	pʰ w ɔ ²¹⁴ +
pò_	pʰ w ɔ ⁵¹ +
pū_	pʰ u ⁵⁵ +
pú_	pʰ u ³⁵ +
pǔ_	pʰ u ²¹⁴ +
pù_	pʰ u ⁵¹ +
qi_	tɕʰ ⁰ +
qian_	tɕʰ j ɛ n ⁰ +
qiā_	tɕʰ j a ⁵⁵ +
qiá_	tɕʰ j a ³⁵ +
qiǎ_	tɕʰ j a ²¹⁴ +
qià_	tɕʰ j a ⁵¹ +
qiān_	tɕʰ j ɛ n ⁵⁵ +
qián_	tɕʰ j ɛ n ³⁵ +
qiǎn_	tɕʰ j ɛ n ²¹⁴ +
qiàn_	tɕʰ j ɛ n ⁵¹ +
qiāng_	tɕʰ j a ŋ ⁵⁵ +
qiáng_	tɕʰ j a ŋ ³⁵ +
qiǎng_	tɕʰ j a ŋ ²¹⁴ +
qiàng_	tɕʰ j a ŋ ⁵¹ +
qiāo_	tɕʰ j au ⁵⁵ +
qiáo_	tɕʰ j au ³⁵ +
qiǎo_	tɕʰ j au ²¹⁴ +
qiào_	tɕʰ j au ⁵¹ +
qiē_	tɕʰ j ə ⁵⁵ +
qié_	tɕʰ j ə ³⁵ +
qiě_	tɕʰ j ə ²¹⁴ +
qiè_	tɕʰ j ə ⁵¹ +
qin_	tɕʰ i n ⁰ +
qing_	tɕʰ i ŋ ⁰ +
qiōng_	tɕʰ j ʊ ŋ ⁵⁵ +
qióng_	tɕʰ j ʊ ŋ ³⁵ +
qiǒng_	tɕʰ j ʊ ŋ ²¹⁴ +
qiòng_	tɕʰ j ʊ ŋ ⁵¹ +
qiū_	tɕʰ j ɔu ⁵⁵ +
qiú_	tɕʰ j ɔu ³⁵ +
qiǔ_	tɕʰ j ɔu ²¹⁴ +
qiù_	tɕʰ j ɔu ⁵¹ +
qī_	tɕʰ i ⁵⁵ +
qí_	tɕʰ i ³⁵ +
qǐ_	tɕʰ i ²¹⁴ +
qì_	tɕʰ i ⁵¹ +
qīn_	tɕʰ i n ⁵⁵ +
qín_	tɕʰ i n ³⁵ +
qǐn_	tɕʰ i n ²¹⁴ +
qìn_	tɕʰ i n ⁵¹ +
qīng_	tɕʰ i ŋ ⁵⁵ +
qíng_	tɕʰ i ŋ ³⁵ +
qǐng_	tɕʰ i ŋ ²¹⁴ +
qìng_	tɕʰ i ŋ ⁵¹ +
quān_	tɕʰ ɥ ɛ n ⁵⁵ +
quán_	tɕʰ ɥ ɛ n ³⁵ +
quǎn_	tɕʰ ɥ ɛ n ²¹⁴ +
quàn_	tɕʰ ɥ ɛ n ⁵¹ +
quē_	tɕʰ ɥ ə ⁵⁵ +
qué_	tɕʰ ɥ ə ³⁵ +
quě_	tɕʰ ɥ ə ²¹⁴ +
què_	tɕʰ ɥ ə ⁵¹ +
qū_	tɕʰ y ⁵⁵ +
qú_	tɕʰ y ³⁵ +
qǔ_	tɕʰ y ²¹⁴ +
qù_	tɕʰ y ⁵¹ +
qūn_	tɕʰ y n ⁵⁵ +
qún_	tɕʰ y n ³⁵ +
qǔn_	tɕʰ y n ²¹⁴ +
qùn_	tɕʰ y n ⁵¹ +
rān_	ʐ a n ⁵⁵ +
rán_	ʐ a n ³⁵ +
rǎn_	ʐ a n ²¹⁴ +
ràn_	ʐ a n ⁵¹ +
rāo_	ʐ au ⁵⁵ +
ráo_	ʐ au ³⁵ +
rǎo_	ʐ au ²¹⁴ +
rào_	ʐ au ⁵¹ +
rē_	ʐ ə ⁵⁵ +
ré_	ʐ ə ³⁵ +
rě_	ʐ ə ²¹⁴ +
rè_	ʐ ə ⁵¹ +
rēn_	ʐ ə n ⁵⁵ +
rén_	ʐ ə n ³⁵ +
rěn_	ʐ ə n ²¹⁴ +
rèn_	ʐ ə n ⁵¹ +
rēng_	ʐ ə ŋ ⁵⁵ +
réng_	ʐ ə ŋ ³⁵ +
rěng_	ʐ ə ŋ ²¹⁴ +
rèng_	ʐ ə ŋ ⁵¹ +
rī_	ʐ ʅ ⁵⁵ +
rí_	ʐ ʅ ³⁵ +
rǐ_	ʐ ʅ ²¹⁴ +
rì_	ʐ ʅ ⁵¹ +
rōng_	ʐ ʊ ŋ ⁵⁵ +
róng_	ʐ ʊ ŋ ³⁵ +
rǒng_	ʐ ʊ ŋ ²¹⁴ +
ròng_	ʐ ʊ ŋ ⁵¹ +
rōu_	ʐ ɔu ⁵⁵ +
róu_	ʐ ɔu ³⁵ +
rǒu_	ʐ ɔu ²¹⁴ +
ròu_	ʐ ɔu ⁵¹ +
ruān_	ʐ w a n ⁵⁵ +
ruán_	ʐ w a n ³⁵ +
ruǎn_	ʐ w a n ²¹⁴ +
ruàn_	ʐ w a n ⁵¹ +
ruō_	ʐ w ɔ ⁵⁵ +
ruó_	ʐ w ɔ ³⁵ +
ruǒ_	ʐ w ɔ ²¹⁴ +
ruò_	ʐ w ɔ ⁵¹ +
rū_	ʐ u ⁵⁵ +
rú_	ʐ u ³⁵ +
rǔ_	ʐ u ²¹⁴ +
rù_	ʐ u ⁵¹ +
sāi_	s ai ⁵⁵ +
sái_	s ai ³⁵ +
sǎi_	s ai ²¹⁴ +
sài_	s ai ⁵¹ +
sān_	s a n ⁵⁵ +
sán_	s a n ³⁵ +
sǎn_	s a n ²¹⁴ +
sàn_	s a n ⁵¹ +
sāo_	s au ⁵⁵ +
sáo_	s au ³⁵ +
sǎo_	s au ²¹⁴ +
sào_	s au ⁵¹ +
sē_	s ə ⁵⁵ +
sé_	s ə ³⁵ +
sě_	s ə ²¹⁴ +
sè_	s ə ⁵¹ +
sēn_	s ə n ⁵⁵ +
sén_	s ə n ³⁵ +
sěn_	s ə n ²¹⁴ +
sèn_	s ə n ⁵¹ +
shang_	ʂ a ŋ ⁰ +
shā_	ʂ a ⁵⁵ +
shá_	ʂ a ³⁵ +
shǎ_	ʂ a ²¹⁴ +
shà_	ʂ a ⁵¹ +
shāi_	ʂ ai ⁵⁵ +
shái_	ʂ ai ³⁵ +
shǎi_	ʂ ai ²¹⁴ +
shài_	ʂ ai ⁵¹ +
shān_	ʂ a n ⁵⁵ +
shán_	ʂ a n ³⁵ +
shǎn_	ʂ a n ²¹⁴ +
shàn_	ʂ a n ⁵¹ +
shāng_	ʂ a ŋ ⁵⁵ +
sháng_	ʂ a ŋ ³⁵ +
shǎng_	ʂ a ŋ ²¹⁴ +
shàng_	ʂ a ŋ ⁵¹ +
shāo_	ʂ au ⁵⁵ +
sháo_	ʂ au ³⁵ +
shǎo_	ʂ au ²¹⁴ +
shào_	ʂ au ⁵¹ +
sheng_	ʂ ə ŋ ⁰ +
shē_	ʂ ə ⁵⁵ +
shé_	ʂ ə ³⁵ +
shě_	ʂ ə ²¹⁴ +
shè_	ʂ ə ⁵¹ +
shēn_	ʂ ə n ⁵⁵ +
shén_	ʂ ə n ³⁵ +
shěn_	ʂ ə n ²¹⁴ +
shèn_	ʂ ə n ⁵¹ +
shēng_	ʂ ə ŋ ⁵⁵ +
shéng_	ʂ ə ŋ ³⁵ +
shěng_	ʂ ə ŋ ²¹⁴ +
shèng_	ʂ ə ŋ ⁵¹ +
shēnɡ_	ʂ ə ŋ ⁵⁵ +
shénɡ_	ʂ ə ŋ ³⁵ +
shěnɡ_	ʂ ə ŋ ²¹⁴ +
shènɡ_	ʂ ə ŋ ⁵¹ +
shi_	ʂ ʅ ⁰ +
shī_	ʂ ʅ ⁵⁵ +
shí_	ʂ ʅ ³⁵ +
shǐ_	ʂ ʅ ²¹⁴ +
shì_	ʂ ʅ ⁵¹ +
shōu_	ʂ ɔu ⁵⁵ +
shóu_	ʂ ɔu ³⁵ +
shǒu_	ʂ ɔu ²¹⁴ +
shòu_	ʂ ɔu ⁵¹ +
shuā_	ʂ w a ⁵⁵ +
shuá_	ʂ w a ³⁵ +
shuǎ_	ʂ w a ²¹⁴ +
shuà_	ʂ w a ⁵¹ +
shuān_	ʂ w a n ⁵⁵ +
shuán_	ʂ w a n ³⁵ +
shuǎn_	ʂ w a n ²¹⁴ +
shuàn_	ʂ w a n ⁵¹ +
shuāng_	ʂ w a ŋ ⁵⁵ +
shuáng_	ʂ w a ŋ ³⁵ +
shuǎng_	ʂ w a ŋ ²¹⁴ +
shuàng_	ʂ w a ŋ ⁵¹ +
shuī_	ʂ w əi ⁵⁵ +
shuí_	ʂ w əi ³⁵ +
shuǐ_	ʂ w əi ²¹⁴ +
shuì_	ʂ w əi ⁵¹ +
shuō_	ʂ w ɔ ⁵⁵ +
shuó_	ʂ w ɔ ³⁵ +
shuǒ_	ʂ w ɔ ²¹⁴ +
shuò_	ʂ w ɔ ⁵¹ +
shū_	ʂ u ⁵⁵ +
shú_	ʂ u ³⁵ +
shǔ_	ʂ u ²¹⁴ +
shù_	ʂ u ⁵¹ +
sī_	s ɿ ⁵⁵ +
sí_	s ɿ ³⁵ +
sǐ_	s ɿ ²¹⁴ +
sì_	s ɿ ⁵¹ +
sōng_	s ʊ ŋ ⁵⁵ +
sóng_	s ʊ ŋ ³⁵ +
sǒng_	s ʊ ŋ ²¹⁴ +
sòng_	s ʊ ŋ ⁵¹ +
suān_	s w a n ⁵⁵ +
suán_	s w a n ³⁵ +
suǎn_	s w a n ²¹⁴ +
suàn_	s w a n ⁵¹ +
suī_	s w əi ⁵⁵ +
suí_	s w əi ³⁵ +
suǐ_	s w əi ²¹⁴ +
suì_	s w əi ⁵¹ +
suō_	s w ɔ ⁵⁵ +
suó_	s w ɔ ³⁵ +
suǒ_	s w ɔ ²¹⁴ +
suò_	s w ɔ ⁵¹ +
sū_	s u ⁵⁵ +
sú_	s u ³⁵ +
sǔ_	s u ²¹⁴ +
sù_	s u ⁵¹ +
sūn_	s ʊ n ⁵⁵ +
sún_	s ʊ n ³⁵ +
sǔn_	s ʊ n ²¹⁴ +
sùn_	s ʊ n ⁵¹ +
tao_	tʰ au ⁰ +
tā_	tʰ a ⁵⁵ +
tá_	tʰ a ³⁵ +
tǎ_	tʰ a ²¹⁴ +
tà_	tʰ a ⁵¹ +
tāi_	tʰ ai ⁵⁵ +
tái_	tʰ ai ³⁵ +
tǎi_	tʰ ai ²¹⁴ +
tài_	tʰ ai ⁵¹ +
tān_	tʰ a n ⁵⁵ +
tán_	tʰ a n ³⁵ +
tǎn_	tʰ a n ²¹⁴ +
tàn_	tʰ a n ⁵¹ +
tāng_	tʰ a ŋ ⁵⁵ +
táng_	tʰ a ŋ ³⁵ +
tǎng_	tʰ a ŋ ²¹⁴ +
tàng_	tʰ a ŋ ⁵¹ +
tāo_	tʰ au ⁵⁵ +
táo_	tʰ au ³⁵ +
tǎo_	tʰ au ²¹⁴ +
tào_	tʰ au ⁵¹ +
tēng_	tʰ ə ŋ ⁵⁵ +
téng_	tʰ ə ŋ ³⁵ +
těng_	tʰ ə ŋ ²¹⁴ +
tèng_	tʰ ə ŋ ⁵¹ +
tiān_	tʰ j ɛ n ⁵⁵ +
tián_	tʰ j ɛ n ³⁵ +
tiǎn_	tʰ j ɛ n ²¹⁴ +
tiàn_	tʰ j ɛ n ⁵¹ +
tiāo_	tʰ j au ⁵⁵ +
tiáo_	tʰ j au ³⁵ +
tiǎo_	tʰ j au ²¹⁴ +
tiào_	tʰ j au ⁵¹ +
tiē_	tʰ j ə ⁵⁵ +
tié_	tʰ j ə ³⁵ +
tiě_	tʰ j ə ²¹⁴ +
tiè_	tʰ j ə ⁵¹ +
tī_	tʰ i ⁵⁵ +
tí_	tʰ i ³⁵ +
tǐ_	tʰ i ²¹⁴ +
tì_	tʰ i ⁵¹ +
tīng_	tʰ i ŋ ⁵⁵ +
tíng_	tʰ i ŋ ³⁵ +
tǐng_	tʰ i ŋ ²¹⁴ +
tìng_	tʰ i ŋ ⁵¹ +
tou_	tʰ ɔu ⁰ +
tōng_	tʰ ʊ ŋ ⁵⁵ +
tóng_	tʰ ʊ ŋ ³⁵ +
tǒng_	tʰ ʊ ŋ ²¹⁴ +
tòng_	tʰ ʊ ŋ ⁵¹ +
tōu_	tʰ ɔu ⁵⁵ +
tóu_	tʰ ɔu ³⁵ +
tǒu_	tʰ ɔu ²¹⁴ +
